,CAJ,CAJ,CAJ,CAA,CAA,CAA,CAE,CAE,CAE,CSJ,CSJ,CSJ,CAS,CAS,CAS,area_0,area_0,area_0,area_1,area_1,area_1,area_2,area_2,area_2,operator_0_acromioclaviculaire_0,operator_0_acromioclaviculaire_0,operator_0_acromioclaviculaire_0,operator_0_acromioclaviculaire_1,operator_0_acromioclaviculaire_1,operator_0_acromioclaviculaire_1,operator_0_acromioclaviculaire_2,operator_0_acromioclaviculaire_2,operator_0_acromioclaviculaire_2,operator_1_acromioclaviculaire_0,operator_1_acromioclaviculaire_0,operator_1_acromioclaviculaire_0,operator_1_acromioclaviculaire_1,operator_1_acromioclaviculaire_1,operator_1_acromioclaviculaire_1,operator_1_acromioclaviculaire_2,operator_1_acromioclaviculaire_2,operator_1_acromioclaviculaire_2,operator_2_acromioclaviculaire_0,operator_2_acromioclaviculaire_0,operator_2_acromioclaviculaire_0,operator_2_acromioclaviculaire_1,operator_2_acromioclaviculaire_1,operator_2_acromioclaviculaire_1,operator_2_acromioclaviculaire_2,operator_2_acromioclaviculaire_2,operator_2_acromioclaviculaire_2,bone_type,bone_ID
,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,x,y,z,,
0,-0.018542000654422686,-0.031646341877758666,0.1038335715624755,-0.014555649241472901,-0.008880538160406432,0.10081627539375124,-0.018074393742273043,0.05056835268224877,0.08793908044338752,-0.003281569851804722,0.10124289250853419,0.09395153445488102,-0.012219041363337624,0.09858436444316926,0.07987601006166695,-0.012331762340690833,-0.02292726013424473,0.1058982239656287,-0.0020558805093257027,-0.02561806934849338,0.10645318621157213,-0.01841244594115035,-0.022905922134321743,0.10389651053035834,-0.014275539790261305,-0.03136114659867684,0.09166456518141619,-0.014081151778053913,-0.03126013640265954,0.0920307224704228,-0.0145137247062459,-0.030938560008447136,0.09189880779241118,-0.012266790724721255,-0.03266332175279485,0.091666669096818,-0.014581862509275956,-0.03420044432343955,0.10409840256410802,-0.013471318981854274,-0.03448736695700846,0.10412399416635217,-0.009415431621458525,-0.03572822940193576,0.10375729000884304,-0.013789092691324778,-0.034781179496881864,0.10369288498319262,-0.005890041310983474,-0.035996618671192526,0.1003505682758889,collarbone,6
1,-0.01872840700063405,-0.0315940827298235,0.1039046735813287,-0.014551460226180923,-0.008926468824015515,0.10068684655066634,-0.018194035328876534,0.05053319727849249,0.08791440609639284,-0.0035047957441268762,0.1012234571153506,0.09398133916488506,-0.012070938616547178,0.09855058563594751,0.07997605512714731,-0.012488851472048312,-0.024324195693547823,0.10661900457040194,-0.002247508020138067,-0.025662137513400074,0.10657805239634362,-0.01737543104227185,-0.021806382471674768,0.10373633584974902,-0.01494803303295178,-0.031289291323624624,0.09148959281415497,-0.01414798549268892,-0.03134799742755051,0.09189803038649513,-0.0145137247062459,-0.030938560008447136,0.09189880779241118,-0.014239519118273813,-0.031195650287768883,0.09182614504121787,-0.013821938840525738,-0.03465367693421001,0.10431606257884504,-0.011262623372879199,-0.03495343617820169,0.1039591591273653,-0.009616909909220261,-0.0356242390850352,0.10371500009569636,-0.01390591110097894,-0.03467392769370026,0.1036968868290318,-0.005890041310983474,-0.035996618671192526,0.1003505682758889,collarbone,6
2,-0.01851971933952612,-0.031628652936319834,0.10372998255895408,-0.014511349759456116,-0.008928031130535863,0.10079113961426721,-0.018117666121582054,0.05057186373537882,0.08797134385220984,-0.0032673718863738266,0.10118361156534905,0.09402756492334885,-0.012272411420148233,0.09855438291332189,0.07988116912282855,-0.014502276923519755,-0.025819484713220486,0.10620196548048572,-0.002959498242245173,-0.024700729826225523,0.10633181404023528,-0.017592525285001492,-0.021773429182304183,0.10346108389249506,-0.015490793133389635,-0.031083700476098763,0.09130313196999333,-0.014734682784266928,-0.0310595932534595,0.0915813934540518,-0.014062489073090378,-0.031134674471121615,0.09199112733315672,-0.014641479008391967,-0.030863142602540306,0.09155023979339479,-0.014222415150536682,-0.03436557234998161,0.10421988773310575,-0.010657828030205652,-0.035052118554337916,0.10366108872551741,-0.009616909909220261,-0.0356242390850352,0.10371500009569636,-0.013585544378257208,-0.03496647336821623,0.10372828958240207,-0.006139091607241021,-0.03579223840161483,0.10037074412440178,collarbone,6
3,-0.018866290373624972,-0.03154435080515161,0.10382029821600726,-0.014280804223755661,-0.008966756124806352,0.10070389017314654,-0.01825662736526723,0.050580022828844856,0.08800004806624301,-0.003325625213554284,0.10114654981917359,0.09408507824880961,-0.012198624573589223,0.09856561524728752,0.07971216465125652,-0.014503428145828556,-0.02574404582998635,0.10618718003670374,-0.0041558062317638145,-0.02405782582211881,0.10607013114989014,-0.015904952423542756,-0.01993836568438656,0.10295581219859545,-0.0163276760773875,-0.030420197505750174,0.09115993051203519,-0.015741299923980656,-0.030881387107095926,0.09117879673166007,-0.01440263075556203,-0.03103208059664614,0.09184309074652694,-0.014587734881696512,-0.03078370021422333,0.09109914972259933,-0.012866090481713943,-0.03500137358488309,0.10420846047437549,-0.009849253489625398,-0.034868273518990675,0.10177364560559343,-0.00840733453510989,-0.03574631920451643,0.10281321089596357,-0.012483857864518444,-0.034992098981877384,0.10399786788443169,-0.0052464866521260145,-0.03625665935365241,0.09847166702674147,collarbone,6
4,-0.018407291704973572,-0.03172114871937254,0.10379134701803584,-0.014349128244846687,-0.009014078211807691,0.10059990302423656,-0.018304770164686013,0.0505812429938584,0.08803815623719521,-0.004298066221738228,0.10111884337068455,0.09404896952690217,-0.012019070725608594,0.09856139814470743,0.0800299550472918,-0.011698825486387898,-0.023556556695192188,0.10608354464011702,-0.005782043788424507,-0.02195530057035898,0.10589587030755457,-0.0139171186388167,-0.0159536100712514,0.10268838508308609,-0.01711954745018196,-0.029798229672280213,0.09092070497574195,-0.01686977161977754,-0.030133071305281894,0.0909010975351537,-0.013887628992561019,-0.031282209979033915,0.09200328302157545,-0.015860094604249975,-0.02939197014131506,0.09059381915284845,-0.013978454692568532,-0.03445291655259686,0.10407979154802129,-0.008974265898349931,-0.03496075426811773,0.09948059863942581,-0.007163819165042273,-0.03597329751785383,0.10099551114053228,-0.011061424735823833,-0.0355866650114961,0.10395807703747563,-0.005346083151607561,-0.03639682409891387,0.09647664931674561,collarbone,6
5,-0.018547218879172545,-0.03165284363750667,0.1038004296933956,-0.014544112874358195,-0.00897437071012927,0.1005910431243795,-0.018148341327759665,0.050618533728541686,0.08819246713241741,-0.0035833125054275383,0.10117529398906258,0.0939661353301765,-0.011923462379316851,0.09854990923439377,0.0800450457986274,-0.011997341789220073,-0.019966896360119835,0.10451651102657486,-0.007857042917423507,-0.01977450271135335,0.1053310435562121,-0.012732141396476354,-0.012521461462533412,0.10297116017009827,-0.018300815322290442,-0.02881798278539638,0.09050980796254354,-0.01825246070077513,-0.029042126989346634,0.09062624471539402,-0.01477633807127865,-0.030945166836843674,0.09164069415729989,-0.017110548398741154,-0.02786672043525862,0.09045670022492146,-0.010194430844227775,-0.03563546703417819,0.1041083636809924,-0.008694927869226099,-0.03536323320963865,0.09739813479597942,-0.005535524697427352,-0.03595240510486408,0.10029572938653672,-0.009653928169421011,-0.03587084858844447,0.10386472696307132,-0.0057468328628489385,-0.03624563446321394,0.0947152702130831,collarbone,6
6,-0.018579571803177153,-0.03169690142214196,0.10376525940315004,-0.014532571658350757,-0.008987284444383764,0.10061165999840194,-0.018302227758793976,0.05067096149596238,0.08812455888383522,-0.0039023339343772223,0.1011474498246017,0.09396766932887335,-0.012197635506077886,0.09855665227689844,0.0799479414415544,-0.010922816874367178,-0.015736708181444348,0.10446391409654221,-0.009161832811637072,-0.017067095771934063,0.1044017953686108,-0.012617365011788562,-0.010226986344125,0.10274810696254491,-0.01880737917042652,-0.028003341481750904,0.09043496517125171,-0.01882927984345839,-0.0280839633371876,0.09015830406807528,-0.014855035758317037,-0.03112451098669322,0.09156354100309365,-0.018622718525037163,-0.02596651445624293,0.09095444980672836,-0.007266446906262103,-0.036229716444655446,0.10294613097554611,-0.008743728501633519,-0.034932444736820535,0.09528999783725425,-0.005602642666093671,-0.03623802248440011,0.0983050548634334,-0.008567751904607568,-0.03636793049071896,0.10353585596733383,-0.007216804785576958,-0.03530183175665813,0.09372063531990553,collarbone,6
7,-0.01880332571197807,-0.03158841808178481,0.1037574317051758,-0.014306251753776977,-0.009003027035741629,0.1005735061493187,-0.01821747353115566,0.050645171819409786,0.08821213976389941,-0.0035561553814945634,0.10121373489981912,0.09392282311210234,-0.012103232004500697,0.09852826476687879,0.07994966294838476,-0.010422888190232973,-0.011079198478262886,0.10432603756903497,-0.010339306222887146,-0.015612349843066309,0.10382249012054008,-0.012114535194400006,-0.008401298621765751,0.10326544934254894,-0.019718497125709722,-0.0272577370096469,0.09049839833636392,-0.01939395315955339,-0.027553712325292856,0.08992049163485437,-0.016330682755084647,-0.030253130721314275,0.09113187968925772,-0.0189559448205312,-0.025363373629443353,0.09219640855214678,-0.005231362771232151,-0.03644697853610024,0.10119537172381969,-0.009656635850397333,-0.03435545078133484,0.09332108148104215,-0.005099432146966731,-0.03585182155200872,0.09581430403146034,-0.007934936625537903,-0.03589552254476769,0.10288046363940392,-0.00852365603439098,-0.03491498746980648,0.09190864263147548,collarbone,6
8,-0.018773086689727325,-0.03161982999912788,0.10375448755593773,-0.014661639583883335,-0.008986069777769834,0.10048928008307868,-0.017955286974630447,0.05076025993870151,0.08819993510347565,-0.0034964529216605644,0.10124252457539128,0.09390108101200201,-0.012190067016153439,0.09850582876266567,0.07981808170727694,-0.010300908165919637,-0.008514242761884061,0.10395548945008126,-0.011320049893366657,-0.017340820593181303,0.10359920917078294,-0.011142722649122888,-0.006372478600768505,0.10412018117467181,-0.02012034462621881,-0.026557475868051572,0.09050751932453745,-0.0201747821704934,-0.02683296880897934,0.09014714247287756,-0.016499538254875157,-0.02999047287811435,0.09106422198982259,-0.020309930216950933,-0.023868244057571986,0.0928294102745495,-0.005660489472245178,-0.03634021194358694,0.09968418280902223,-0.011006740572647167,-0.033697777958460254,0.09222116360975663,-0.006887945776512749,-0.03542812026756903,0.09417077614533759,-0.0064965162476008365,-0.03605507114365358,0.1023034849418487,-0.010749998225081159,-0.03285560955916966,0.09179829838221285,collarbone,6
